config,instance,seed,obj_t0_checkpoint,obj_t15,obj_t30,obj_t60
no_restart,MS40d,5,245.518902,240.182729,240.178287,240.124
no_restart,MS40d,6,250.970578,240.547885,240.547885,240.548
no_restart,MS40d,7,248.692748,238.266856,238.266856,238.267
no_restart,MS40d,8,245.027286,239.441813,239.224498,239.224
no_restart,MS40d,9,249.520698,239.869436,239.869436,239.869
no_restart,MS41d,1,264.636419,264.636419,256.310422,248.693
no_restart,MS41d,10,262.140027,259.704323,255.358132,252.243
no_restart,MS41d,2,266.281529,258.890745,253.977514,250.724
no_restart,MS41d,3,263.651804,263.651804,259.552514,258.003
no_restart,MS41d,4,258.518686,255.810609,254.058849,251.974
no_restart,MS41d,5,263.153255,260.253836,257.657511,255.892
no_restart,MS41d,6,263.589524,263.396841,258.676438,257.066
no_restart,MS41d,7,264.13154,259.645125,255.994229,255.961
no_restart,MS41d,8,261.796753,261.796753,256.605516,253.087
no_restart,MS41d,9,261.316232,261.316232,256.616404,252.638
no_restart,MS42d,1,341.296208,341.296208,325.261174,324.028
no_restart,MS42d,10,339.52295,337.595243,327.172441,327.172
no_restart,MS42d,2,342.45421,335.341329,331.767465,329.009
no_restart,MS42d,3,345.859728,335.617352,330.394783,329.781
no_restart,MS42d,4,345.924861,343.615694,329.365879,329.366
no_restart,MS42d,5,339.66558,330.828662,319.530829,319.303
no_restart,MS42d,6,344.949504,331.709348,331.199614,331.2
no_restart,MS42d,7,344.191989,333.392943,326.145127,322.42
no_restart,MS42d,8,345.437956,334.883807,328.672933,328.064
no_restart,MS42d,9,350.729547,339.01982,329.468982,323.083
no_restart,MS43d,1,375.978513,353.412385,352.348285,352.348
no_restart,MS43d,10,367.347368,355.146568,351.672498,351.672
no_restart,MS43d,2,369.664909,360.404434,355.149008,355.149
no_restart,MS43d,3,371.517781,363.688429,362.868529,362.869
no_restart,MS43d,4,363.78362,362.32142,357.85678,357.834
no_restart,MS43d,5,370.147119,360.213582,359.668694,358.769
no_restart,MS43d,6,368.703617,359.551796,358.450757,358.308
no_restart,MS43d,7,367.687765,355.534046,353.784964,353.785
no_restart,MS43d,8,367.714562,352.90724,352.371703,352.372
no_restart,MS43d,9,370.76473,362.802279,358.198929,358.199
no_restart,MS4d,1,487.641673,467.385712,465.413777,465.054
no_restart,MS4d,10,484.086926,463.320473,459.058667,455.961
no_restart,MS4d,2,494.139554,486.275201,475.483609,475.484
no_restart,MS4d,3,476.734287,465.085678,455.554919,455.171
no_restart,MS4d,4,489.215055,477.495602,461.269668,460.334
no_restart,MS4d,5,499.001354,483.449395,475.371822,465.832
no_restart,MS4d,6,508.693962,479.513443,474.836585,473.039
no_restart,MS4d,7,484.505717,476.583299,474.570569,471.718
no_restart,MS4d,8,488.732377,469.347247,469.347247,467.993
no_restart,MS4d,9,490.797745,468.058467,463.232384,462.626
no_restart,MS5d,1,319.619872,310.278272,310.278272,302.436
no_restart,MS5d,10,317.438867,302.627039,302.627039,302.118
no_restart,MS5d,2,327.691301,302.660764,302.060646,302.061
no_restart,MS5d,3,327.899217,306.287163,305.102628,303.649
no_restart,MS5d,4,326.3355,309.34406,302.627039,302.627
